[Header]
TITLE, default name
FILEOPENTIME,32105514.88,10/4/2024,1:24 PM
BYAPP, Resistivity, 2.1, 1.0
INFO, APPNAME, PPMS MultiVu Application, 1.5.11
INFO, , Sample1 Name
INFO, 1, Sample1 Cross Section
INFO, 1, Sample1 Length
INFO, Ohm-m, Sample1 Units
INFO, , Sample2 Name
INFO, 1, Sample2 Cross Section
INFO, 1, Sample2 Length
INFO, Ohm-m, Sample2 Units
INFO, , Sample3 Name
INFO, 1, Sample3 Cross Section
INFO, 1, Sample3 Length
INFO, Ohm-m, Sample3 Units
INFO, , Sample4 Name
INFO, 1, Sample4 Cross Section
INFO, 1, Sample4 Length
INFO, Ohm-m, Sample4 Units
FIELDGROUP, Resistivity,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
STARTUPGROUP, Resistivity
STARTUPAXIS, X, 2, LINEAR, AUTO
STARTUPAXIS, Y1, 7, LINEAR, AUTO
STARTUPAXIS, Y2, 9, LINEAR, AUTO
STARTUPAXIS, Y3, 11, LINEAR, AUTO
PLOT_APPEARANCE, ALL, HORZ_GRID_ON, VERT_GRID_ON, MARKERS_AND_LINES, ALL_LINES
DATATYPE, TIME, 2
DATATYPE, COMMENT, 1
[Data]
Comment,Time Stamp (sec),Status (code),Temperature (K),Magnetic Field (Oe),Sample Position (deg),Bridge 1 Resistivity (Ohm-m),Bridge 1 Excitation (uA),Bridge 2 Resistivity (Ohm-m),Bridge 2 Excitation (uA),Bridge 3 Resistivity (Ohm-m),Bridge 3 Excitation (uA),Bridge 4 Resistivity (Ohm-m),Bridge 4 Excitation (uA),Bridge 1 Std. Dev. (Ohm-m),Bridge 2 Std. Dev. (Ohm-m),Bridge 3 Std. Dev. (Ohm-m),Bridge 4 Std. Dev. (Ohm-m),Number of Readings,Bridge 1 Resistance (Ohms),Bridge 2 Resistance (Ohms),Bridge 3 Resistance (Ohms),Bridge 4 Resistance (Ohms),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (watts),Drive 2 Iout (mA),Drive 2 Ipower (watts),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,32116122.03,4449,100.016700744629,69432.0528125,350.002807617188,0.0823050384521484,500,1.00199319422245e-005,500,,,,,7.53574641483561e-007,2.0037281384195e-007,,,50,82.3050384521484,0.0100199319422245,,
,32116136.09,4449,100.014652252197,68557.88609375,350.002807617188,0.0823040504455566,500,1.01354410871863e-005,500,,,,,9.91271591349977e-007,3.34128350433763e-007,,,50,82.3040504455566,0.0101354410871863,,
,32116152.42,4449,100.009349822998,67579.80703125,350.002807617188,0.0822995722961426,500,1.03690536506474e-005,500,,,,,1.54031997808967e-006,3.4279207633362e-007,,,50,82.2995722961426,0.0103690536506474,,
,32116169.86,4449,100.006801605225,66497.935625,350.002807617188,0.0822915573120117,500,1.05580340325832e-005,500,,,,,2.07946813134815e-006,2.75156317709815e-007,,,50,82.2915573120117,0.0105580340325832,,
,32116185.66,4449,100.005500793457,65557.758515625,350.002807617188,0.082282924041748,500,1.07834069244564e-005,500,,,,,2.14511187143489e-006,2.35502871954835e-007,,,50,82.282924041748,0.0107834069244564,,
,32116201.81,4449,100.002948760986,64569.200390625,350.002807617188,0.0822781390380859,500,1.09856624156237e-005,500,,,,,2.20249538759834e-006,2.5793124302451e-007,,,50,82.2781390380859,0.0109856624156237,,
,32116218.66,4449,100.002349853516,63561.7521875,350.002807617188,0.08226796875,500,1.11168882995844e-005,500,,,,,2.42479593374016e-006,3.10974250209231e-007,,,50,82.26796875,0.0111168882995844,,
,32116235.27,4449,100.001148223877,62554.481015625,350.002807617188,0.0822564170837402,500,1.14012363925576e-005,500,,,,,2.57642845147966e-006,3.55254914671732e-007,,,50,82.2564170837402,0.0114012363925576,,
,32116251.75,4449,100.000301361084,61551.836484375,350.002807617188,0.0822444201660156,500,1.1563819013536e-005,500,,,,,2.55080446443451e-006,2.75349689331581e-007,,,50,82.2444201660156,0.011563819013536,,
,32116268.34,4449,100.001201629639,60553.818984375,350.002807617188,0.0822290116882324,500,1.17071757465601e-005,500,,,,,2.59900094574787e-006,3.03769353804619e-007,,,50,82.2290116882324,0.0117071757465601,,
,32116284.91,4449,100.000598907471,59555.523828125,350.002807617188,0.0822166111755371,500,1.19210279360414e-005,500,,,,,2.79473968361642e-006,2.97557285783291e-007,,,50,82.2166111755371,0.0119210279360414,,
